,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,detection_size,dist,nx,ny,n_vel,nx_kpc,ny_kpc,file,true_positive_mocks,hi_mass,asymmetry,overlap_area,area_gt,mos_name
0,1,0.0,0.0,1728.0,0,0,1728,1,1,1729,1,6.177742958068848,6.177742958068848,6.177742958068848,"[0, 0, 1728]",,1,469.9193154217287,1,1,7.7292897808436924,13.669399122699835,13.669399122699835,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,2242400286255.6006,,,,1245mosH
1,2,0.5333333333333333,67.46666666666667,1728.5333333333333,0,66,1728,2,71,1730,15,26.98209571838379,26.98209571838379,3.123584747314453,"[1, 67, 1729]",8.912801836238055,20,469.9193154217287,5,2,15.458579561687385,68.34699607615889,27.338798268532656,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,19587950068314.914,,,,1245mosH
2,3,0.8247422680412371,99.77319587628865,830.8247422680413,0,96,828,3,105,834,97,186.32630920410156,186.32630920410156,3.7087082862854004,"[0, 100, 831]",2.595286375374278,162,469.9193154217287,9,6,23.187869342531073,123.02459488025679,82.0163955458535,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,202898460591330.8,,,,1245mosH
3,4,1.127659574468085,120.31141199226306,1721.9767891682786,0,114,1714,4,128,1730,517,449.89154052734375,449.89154052734375,3.5835204124450684,"[1, 120, 1725]",1.2173669673947476,896,469.78334047908004,14,16,30.91715912337477,191.3162233284185,218.64711607554264,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,652848197481125.0,,,,1245mosH
4,5,1.2388535031847134,195.5,896.2484076433121,0,190,892,5,202,902,314,511.28265380859375,511.28265380859375,5.537336349487305,"[2, 195, 897]",1.7113926284722962,600,469.78334047908004,12,10,38.64644890421846,163.985331876367,136.6544415343777,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,927417770029767.8,,,,1245mosH
5,6,0.5806451612903226,226.6451612903226,1163.0645161290322,0,226,1160,3,229,1167,31,136.13369750976562,136.13369750976562,7.312830448150635,"[0, 227, 1162]",5.6363952698011,63,469.9193154217287,3,7,23.187869342531073,41.008197460631436,95.68579515434601,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,296483299485642.8,,,,1245mosH
6,7,1.2135231316725978,273.62633451957294,1094.3772241992883,0,268,1090,5,280,1100,281,563.3262329101562,563.3262329101562,9.613133430480957,"[0, 273, 1096]",1.3008212826765484,600,469.78334047908004,12,10,38.64644890421846,163.985331876367,136.6544415343777,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,1430547928134556.2,,,,1245mosH
7,8,0.5,277.875,805.125,0,277,804,2,280,807,16,50.64655685424805,50.64655685424805,3.8677008152008057,"[0, 279, 806]",1.6,18,469.9193154217287,3,3,15.458579561687385,41.008197460631436,41.008197460631436,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,147069706153287.75,,,,1245mosH
8,9,1.6609442060085837,296.72103004291847,880.9442060085837,0,292,878,5,303,884,233,422.6572265625,422.6572265625,5.83278751373291,"[1, 294, 881]",3.3169688585622144,330,469.78334047908004,11,6,38.64644890421846,150.31988657817774,81.99266344054391,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,1379987659508074.5,,,,1245mosH
9,10,1.2828947368421053,296.0657894736842,1071.1973684210527,0,292,1068,5,302,1075,152,418.0791015625,418.0791015625,8.535218238830566,"[0, 296, 1072]",2.4602857726885734,350,469.78334047908004,10,7,38.64644890421846,136.6544415343777,95.65810769804997,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,1516710914896164.2,,,,1245mosH
10,11,0.6666666666666666,323.0,1716.0,0,322,1716,2,325,1717,3,3.835968017578125,3.835968017578125,1.4959694147109985,"[1, 322, 1716]",inf,6,469.9193154217287,3,1,15.458579561687385,41.008197460631436,13.669399122699835,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,15316198830330.807,,,,1245mosH
11,12,4.572727272727272,339.96363636363634,325.03636363636366,0,339,324,19,345,329,110,450.3317565917969,450.3317565917969,9.705166816711426,"[7, 339, 327]",2.9999999999999996,570,469.3754623304208,6,5,146.85650583603015,81.92147527168788,68.26789584793296,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,1957226054905150.2,,,,1245mosH
12,13,3.2332089552238807,349.5391791044776,1097.6716417910447,0,344,1094,12,355,1103,536,609.55322265625,609.55322265625,7.451214790344238,"[2, 349, 1097]",1.856302814258302,1188,469.5114139340946,11,9,92.75147737012429,150.23287632498716,122.91780651548781,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,2871582472607139.0,,,,1245mosH
13,14,0.8807339449541285,353.4678899082569,896.2752293577981,0,350,893,5,358,901,109,341.056640625,341.056640625,7.581921577453613,"[1, 353, 897]",1.2751648408105754,320,469.9193154217287,8,8,38.64644890421846,109.35519492476946,109.35519492476946,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,1743506577831133.0,,,,1245mosH
14,15,0.7861271676300579,380.757225433526,1191.7687861271677,0,376,1188,3,386,1197,173,229.4179229736328,229.4179229736328,5.048738479614258,"[0, 380, 1192]",1.403997149117232,270,469.9193154217287,10,9,23.187869342531073,136.69399504394102,123.02459488025679,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,1249113539287415.8,,,,1245mosH
15,16,0.46153846153846156,465.53846153846155,1131.8461538461538,0,465,1130,2,467,1134,13,-4.853301525115967,-4.853301525115967,1.2572605609893799,"[1, 465, 1133]",2.6666666666666665,16,469.9193154217287,2,4,15.458579561687385,27.338798268532656,54.677596722129195,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,-28186461243432.758,,,,1245mosH
16,17,2.0,524.9281437125749,2315.9241516966067,0,518,2311,6,532,2322,501,425.43646240234375,425.43646240234375,13.368124008178711,"[0, 524, 2316]",2.2835589727247005,924,469.6473733167582,14,11,46.375738685062146,191.2608515820182,150.2763802069264,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,2622340024222112.5,,,,1245mosH
17,18,1.0,678.0,1188.0,0,678,1188,3,679,1189,3,7.663908004760742,7.663908004760742,2.5858652591705322,"[2, 678, 1188]",,3,469.78334047908004,1,1,23.187869342531073,13.66544377185395,13.66544377185395,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,50045747085307.29,,,,1245mosH
18,19,7.012295081967213,749.5901639344262,972.4713114754098,0,745,972,16,755,974,244,364.37646484375,364.37646484375,4.849451065063477,"[11, 750, 972]",33.0,320,468.9676541866689,10,2,123.66863649349908,136.41716799751063,27.283432860745716,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,2503302650047453.5,,,,1245mosH
19,20,0.8,804.6,1404.0,0,804,1404,3,806,1405,5,8.9130220413208,8.9130220413208,2.291181802749634,"[1, 804, 1404]",inf,6,469.9193154217287,2,1,23.187869342531073,27.338798268532656,13.669399122699835,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,64705068224634.73,,,,1245mosH
20,21,1.6282051282051282,1006.1153846153846,1002.7051282051282,0,1003,1000,6,1009,1006,78,68.35481262207031,68.35481262207031,4.10045051574707,"[1, 1004, 1002]",5.391481167404509,216,469.78334047908004,6,6,46.375738685062146,81.99266344054391,81.99266344054391,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,520754189934100.4,,,,1245mosH
21,22,0.5714285714285714,1077.0,1080.142857142857,0,1076,1080,2,1079,1082,7,6.439477443695068,6.439477443695068,1.6445409059524536,"[1, 1076, 1080]",2.6666666666666665,12,469.9193154217287,3,2,15.458579561687385,41.008197460631436,27.338798268532656,data/vnet_output/exp3/vnet_cubeout_loud_1245mosH.fits,False,51422909002073.3,,,,1245mosH
