gal_file,z_pos,x_pos,y_pos,orig_mass,new_mass,mos_name
data/mock_gals/g2_model648.fits,219,892,288,9.1812,9.333813837155729,1353mosF
data/mock_gals/g1_model93.fits,155,755,423,8.5762,8.741605337637433,1353mosF
data/mock_gals/g2_model28.fits,439,510,1441,8.5266,8.695109298529706,1353mosF
data/mock_gals/g1_model174.fits,159,611,350,8.6463,8.815662474875555,1353mosF
data/mock_gals/g1_model923.fits,475,904,1029,9.7796,9.949523733176854,1353mosF
data/mock_gals/g1_model325.fits,86,84,76,8.8072,8.964623893788037,1353mosF
data/mock_gals/g1_model295.fits,197,195,347,8.772,8.932781219180855,1353mosF
data/mock_gals/g2_model157.fits,327,155,151,8.6325,8.785644815331953,1353mosF
data/mock_gals/g2_model443.fits,604,436,917,8.9318,9.087347598137992,1353mosF
data/mock_gals/g1_model146.fits,218,109,811,8.621,8.759605479727561,1353mosF
data/mock_gals/g2_model38.fits,480,713,742,8.5342,8.706939065380352,1353mosF
data/mock_gals/g2_model317.fits,377,535,334,8.801,8.958292352074878,1353mosF
data/mock_gals/g1_model149.fits,639,736,704,8.6233,8.771970204921532,1353mosF
data/mock_gals/g2_model582.fits,157,38,1459,9.0992,9.271138447716805,1353mosF
data/mock_gals/g1_model26.fits,603,581,479,8.5213,8.679185718987958,1353mosF
data/mock_gals/g2_model844.fits,385,434,1509,9.5382,9.693943496123767,1353mosF
data/mock_gals/g2_model277.fits,415,927,475,8.7492,8.88932615967175,1353mosF
data/mock_gals/g2_model905.fits,557,674,512,9.7215,9.89439389248528,1353mosF
data/mock_gals/g2_model52.fits,505,63,1125,8.5469,8.744494834913425,1353mosF
data/mock_gals/g1_model483.fits,225,861,276,8.9853,9.151560767526908,1353mosF
data/mock_gals/g1_model643.fits,340,261,31,9.1754,9.332057746187516,1353mosF
data/mock_gals/g1_model741.fits,532,634,1498,9.3319,9.506680192229748,1353mosF
data/mock_gals/g1_model795.fits,533,756,370,9.4293,9.59857505891279,1353mosF
data/mock_gals/g1_model834.fits,189,159,943,9.5133,9.673070407736443,1353mosF
data/mock_gals/g1_model303.fits,603,629,1028,8.785,8.961046658103674,1353mosF
data/mock_gals/g2_model995.fits,247,782,1005,10.1563,10.30870165678021,1353mosF
data/mock_gals/g1_model575.fits,417,408,1458,9.0949,9.2619157938302,1353mosF
