,Unnamed: 0,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,detection_size,n_vel,nx_kpc,ny_kpc,file,true_positive_mocks,overlap_area,area_gt,true_positive_real,dist,nx,ny,mos_name,hi_mass,asymmetry
0,0,1,435.2307692307692,441.2307692307692,2376.3076923076924,435,440,2373,437,444,2381,13,0.15099895134210192,0.12547471269510935,11.9536771774292,"[436, 442, 2380]",inf,64,15.458579561687383,47.87969468046308,95.75939065736972,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,True,411.4956526196136,4.0,8.0,1245mosH,5001336865.7971,0.1821155943293348
1,1,2,326.10526315789474,1787.9883040935672,438.7485380116959,305,1783,428,357,1792,446,171,,,23.838197708129883,"[305, 1791, 444]",4.411764705882356,8424,401.923068603872,111.52650817887182,223.05303164555883,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,False,425.9998614569864,9.0,18.0,1245mosH,,0.5588932806324111
2,2,3,349.84567901234567,1793.469135802469,1594.2345679012346,343,1785,1570,351,1800,1625,162,,,12.783823013305664,"[350, 1792, 1570]",,6600,61.83431824674954,184.5388634559783,676.6430337168133,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,False,422.9318842116985,15.0,55.0,1245mosH,,0.5140740740740741
3,3,4,343.72727272727275,96.63636363636364,2349.6363636363635,340,95,2348,350,98,2351,11,0.41417656160734556,0.4381090842374202,16.76976776123047,"[342, 97, 2350]",,90,77.29289780843692,36.97757980947773,36.97757980947773,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,True,423.7318406083034,3.0,3.0,1245mosH,14470656736.572504,1.0
4,4,5,343.2857142857143,1669.857142857143,2233.285714285714,341,1669,2232,347,1673,2235,7,0.2646332987782779,0.08389378925350513,17.481788635253906,"[346, 1669, 2234]",,72,46.37573868506215,49.30343984331366,36.97757980947773,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,False,423.7318406083034,4.0,3.0,1245mosH,9245857884.439434,0.3918629550321199
5,5,6,316.7102803738318,1795.9719626168223,1239.822429906542,299,1795,1237,339,1798,1244,107,2.7142947957724823,2.8522998427869934,13.074178695678713,"[309, 1795, 1243]",643.3317789254374,840,309.1715912337477,37.292015904539554,87.01470475896991,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,False,427.3350127466833,3.0,7.0,1245mosH,96305208443.95958,0.5532003325020781
6,6,7,320.85959459459457,706.9032432432432,2215.2775675675675,298,679,2186,339,740,2238,7400,,,26.872726440429688,"[304, 717, 2221]",6.576485175433026,130052,316.9008810145914,757.3239751034606,645.5874657220791,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,True,426.8008613823844,61.0,52.0,1245mosH,,1.0
7,7,8,316.6923076923077,1789.25,693.9807692307693,305,1788,691,335,1793,698,104,,,11.41850471496582,"[306, 1791, 691]",318.3301919410771,1050,231.8786934253108,62.15336012138811,87.01470475896991,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,False,427.3350127466833,5.0,7.0,1245mosH,,0.3572659391154509
8,8,9,294.0217391304348,54.48913043478261,2305.43115942029,284,42,2287,316,70,2325,552,,,22.08137321472168,"[307, 62, 2317]",79.49586251437091,34048,247.33727298699816,350.453483260509,475.6155301061205,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,True,430.27501243686027,28.0,38.0,1245mosH,,0.5891032917139614
9,9,10,293.67664670658684,84.12574850299401,2338.7664670658683,284,77,2332,306,90,2345,167,,,37.96994400024414,"[284, 89, 2344]",inf,3718,170.04437517856124,162.7610857672192,162.7610857672192,data/sofia_output/sofia_loud_1245mosH_mask.fits,False,,,True,430.40873599528703,13.0,13.0,1245mosH,,0.8506375227686703
